ROI_INDEX	TISSUE_SEG	ROI_NAME	MINA_C32_mapped	MINA_C32_mapped_OI	MINA_C64_mapped	MINA_C64_mapped_OI	MINA_C128_mapped	MINA_C128_mapped_OI	MINA_C256_mapped	MINA_C256_mapped_OI	MINA_C512_mapped	MINA_C512_mapped_OI	MINA_C1024_mapped	MINA_C1024_mapped_OI
115	GM	Left Cun   cuneus	C13	0.5622317596566524	C13	0.5464949928469242	C123	0.36623748211731044	C123	0.2474964234620887	C123	0.18741058655221746	C123	0.17739628040057226
116	GM	Right Ent   entorhinal area	C3	0.8028673835125448	C3	0.7562724014336918	C3	0.7526881720430108	C3	0.5304659498207885	C205	0.3046594982078853	C205	0.18996415770609318
117	GM	Left Ent   entorhinal area	C3	0.7509433962264151	C3	0.7433962264150943	C3	0.7283018867924528	C3	0.3849056603773585	C502	0.25660377358490566	C774	0.11320754716981132
118	GM	Right FO    frontal operculum	C10	0.5092592592592593	C61	0.7314814814814815	C107	0.6851851851851852	C229	0.3888888888888889	C107	0.375	C107	0.2824074074074074
119	GM	Left FO    frontal operculum	C2	0.592274678111588	C61	0.7339055793991416	C107	0.5236051502145923	C243	0.39914163090128757	C327	0.31759656652360513	C553	0.21888412017167383
120	GM	Right FRP   frontal pole	C22	0.6105919003115264	C11	0.6386292834890965	C128	0.5389408099688473	C128	0.45794392523364486	C242	0.3956386292834891	C242	0.2367601246105919
121	GM	Left FRP   frontal pole	C22	0.6390243902439025	C11	0.4975609756097561	C128	0.3902439024390244	C236	0.35609756097560974	C280	0.24390243902439024	C460	0.21707317073170732
122	GM	Right FuG   fusiform gyrus	C23	0.33073929961089493	C23	0.3093385214007782	C19	0.23346303501945526	C18	0.1575875486381323	C453	0.11770428015564202	C427	0.09241245136186771
123	GM	Left FuG   fusiform gyrus	C5	0.2859848484848485	C23	0.29829545454545453	C18	0.21212121212121213	C18	0.14678030303030304	C288	0.0946969696969697	C409	0.08238636363636363
124	GM	Right GRe   gyrus rectus	C22	0.8754208754208754	C22	0.8686868686868687	C92	0.6565656565656566	C92	0.5084175084175084	C92	0.23905723905723905	C423	0.1750841750841751
125	GM	Left GRe   gyrus rectus	C22	0.8484848484848485	C22	0.8257575757575758	C92	0.6704545454545454	C92	0.45454545454545453	C482	0.25	C759	0.17424242424242425
