IDP	trait	Pvalue	ES
C128_52	AD	4.388165354676144e-11	0.0241849487947358
C128_53	AD	3.3798067878446405e-29	0.0716767169155401
C128_55	AD	1.0389184448020343e-26	0.0649958837802602
C128_56	AD	1.0636250851736098e-37	0.0948586171369644
C128_57	AD	3.921653628023841e-19	0.0449425016726003
C128_58	AD	2.0145356696649682e-13	0.0301525728410652
C128_59	AD	1.7992019011930408e-17	0.0406117576440088
C128_60	AD	9.423770515516192e-18	0.0413424826597603
C128_61	AD	3.116891299252941e-09	0.0195052528448127
C128_62	AD	1.1697378026064046e-13	0.0307524689060625
C128_63	AD	9.877510530488148e-41	0.1032612292913146
C128_64	AD	3.029827317510444e-13	0.0296968329456023
C128_65	AD	4.3852627270153746e-30	0.0740751871279044
C128_66	AD	6.971471314972117e-12	0.0262150078743372
C128_67	AD	4.454150510590368e-06	0.0116551665427348
C128_68	AD	2.5752526440857595e-05	0.0097906043100157
C128_69	AD	4.798667593440593e-17	0.0395052819919635
C128_70	AD	3.0116046845843155e-31	0.0772164204268823
C128_71	AD	2.2007338980784977e-10	0.0224049790696117
C128_72	AD	1.688274849733364e-11	0.0252366460009197
C128_73	AD	9.238950143938608e-13	0.0284560318054055
C128_74	AD	2.0543337737606992e-18	0.0430643731521069
C128_75	AD	4.688824894523727e-15	0.0343538402929516
C128_76	AD	4.41204913081562e-06	0.0116607931319788
C128_77	AD	2.0817517496114305e-07	0.0149404974474143
C128_78	AD	1.3666649210530071e-14	0.0331535479861634
C128_79	AD	2.2303237750508984e-30	0.0748618108288951
C128_80	AD	0.0001108746437568	0.0082538757908099
C128_81	AD	4.9665772115091454e-05	0.009096330445203
C128_82	AD	2.9637528932826775e-14	0.032290960926389
C128_83	AD	5.235626189196054e-10	0.0214568157669549
C128_84	AD	8.531890457728641e-07	0.0134215489128812
C128_85	AD	5.231613636312652e-06	0.0114823761197728
C128_86	AD	3.298951232699002e-20	0.0477681134855599
